# WORD	TF	IDF	ATTR
雪里蕻	13.34	9.88	n
油菜	12.66	10.56	n
紫苏	10.43	15.38	n
黑芝麻	10.33	15.31	n
小白菜	11.65	12.71	n
抱子甘蓝	12.85	10.71	n
羽衣甘蓝	14.19	7.13	n
紫甘蓝	12.34	11.28	n
结球甘蓝	0.69	0	n
生菜	13.69	8.98	n
韭菜	13.97	8.2	n
芹菜	11.85	13.1	n
苦苣	13.81	7.51	n
油麦菜	11.97	12.06	n
黄秋葵	13.79	8.3	n
空心菜	11.57	13.33	n
葡萄柚	13.2	15.78	n
橘子	13.94	7.11	n
奇异果	13.68	9	n
柠檬	11.44	13.11	n
酸苹果	12.08	11.84	n
酸李	14.46	6.77	n
苹果	11.98	12.56	n
芒果	12.19	12.45	n
杏子	13.31	8.91	n
木瓜	10.26	15.4	n
葡萄	13.02	10.31	n
桃子	13.35	16.48	n
樱桃	12.51	10.89	n
蜜李	0.73	0	n
甜葡萄	11.86	12.3	n
干果	12.73	10.38	n
无花果	13.49	8.43	n
柿子	13.85	8.54	n
柑子	13.15	14.94	n
菱角	14.38	5.7	n
雪梨	12.51	10.9	n
西瓜等	12.93	9.9	n
体质虚寒的人对这类水果应慎用	10.29	15.36	n
枣	12.54	10.84	n
栗子	11.54	13.64	n
龙眼	11.88	12.76	n
石榴	13.57	8.91	n
菠萝等	11.37	13.68	n
体质燥热的人吃这类水果应适量	13.87	8.07	n
梅子	14.3	7.26	n
李子核	14.61	4.93	n
椰子	13.86	8.52	n
Baoci	14.01	6.9	n
钥匙	11.82	12.88	n
枇杷	12.78	11.2	n
山楂	11.34	13.74	n
杨桃	0.71	0	n
柑橘橙	13.64	9.12	n
青枣	13.35	14.1	n
甘果蔗	11.76	12.97	n
 牛奶蕉	12.38	11.75	n
柑桔	11.48	13.49	n
观赏南瓜	1.17	0	n
鹤首瓜	13.93	7.14	n
红香蕉	11.56	12.88	n
番荔枝	13.88	8.47	n
蛇瓜	13.83	7.45	n
果桑	13.77	8.36	n
澳州坚果	1.13	0	n
蒲瓜	11.53	13.4	n
黄芪	12.96	10.8	n
番龙眼	12.48	11.85	n
111	12.82	10.17	n
香瓜	12.97	10.43	n
台湾莲雾	12.08	12.37	n
菠萝火龙果	13.39	9.77	n
油梨	13.43	9.28	n
百香果	1.02	0	n
菠萝蜜	13.53	8.32	n
鸡蛋果	13.12	10.43	n
日本甜柿	13.54	9.38	n
黑提子	13.44	16.56	n
火龙果	12.8	10.83	n
番石榴	12.56	11.37	n
牛奶蕉	11.26	14.12	n
果蔗	14.07	7.92	n
人参果	12.31	11.35	n
柑橘	13.33	14.19	n
橙	12.71	10.44	n
磷铜	11.07	14.19	n
红铜屑	10.25	15.06	n
紫铜	11.32	13.32	n
青铜	0.7	0	n
黄铜	12.54	10.84	n
面包屑	11.82	12.36	n
生铝	11.78	12.46	n
熟铝	13.26	9.05	n
铝	12.82	10.78	n
其他各种屑类	13.05	10.22	n
不锈钢	1.08	0	n
不锈铁	12.02	12.96	n
铝合金	13.19	14.75	n
锌合金	13.91	8.37	n
 废铁等}2.稀有金属	13.27	9.03	n
钨	13.19	10.49	n
钛	11.91	12.98	n
钼	13.32	14.22	n
镍	0.71	0	n
铟	0.93	0	n
钽	11.41	13.61	n
铑	14.21	7.53	n
钯	11.27	13.41	n
电镀水	0.74	0	n
镀金镀银	12.11	11.77	n
 亚克力	12.54	11.4	n
硅胶	13.91	8.37	n
吸管	0.97	0	n
吸尘器灰尘	13.37	9.8	n
PH试纸	11.83	12.86	n
Pocky包装袋	12.39	11.72	n
CPU	13.93	11.41	n
PVC	12.75	10.94	n
704粘合剂	12.66	10.54	n
变压器	0.95	0	n
电子表	12.06	12.4	n
废电线电缆	13.23	9.13	n
线路板	12.42	11.67	n
电阻	0.82	0	n
电容	13.07	9.53	n
CD	0.7	0	n
钢筋	11.89	12.24	n
槽钢	1.06	0	n
钢材	13.98	7.77	n
废旧金属	14.14	7.72	n
洗菜机	13.05	15.34	n
和面机	11.79	12.92	n
切片机	13.49	9.51	n
开罐器	14.25	6.14	n
食物加工机	12.43	11.08	n
打蛋器	1.19	0	n
搅拌器	12.33	11.86	n
绞肉机	11.57	13.33	n
果菜去皮机	13.29	10	n
咖啡渣	1.21	0	n
食物混合器	10.27	15.4	n
电切刀	12.87	10.05	n
挤汁器	10.05	15.34	n
酸奶生成器	12.37	12.07	n
爆米花器	14.19	7.58	n
刨冰器	0.73	0	n
气电一体炉	12.53	11.42	n
